GroupKey,PrimaryKey,RelationKey,RelationType,Date,Value,PrimaryKeyGroupAccountName,RelationKeyGroupAccountName,anomaly
A1,A1,,ROOT,2016-07,-0.0,Gastos,,0
A1,A1,,ROOT,2016-08,55.0,Gastos,,0
A1,A1,,ROOT,2016-09,80.0,Gastos,,0
A1,A1,,ROOT,2016-10,0.0,Gastos,,0
A1,A1,,ROOT,2016-11,-63.36,Gastos,,0
A1,A1,,ROOT,2016-12,-2815.4,Gastos,,0
A1,A1,,ROOT,2017-01,899658.4599999995,Gastos,,1
A1,A1,,ROOT,2017-02,608336.7600000005,Gastos,,0
A1,A1,,ROOT,2017-03,753744.0600000002,Gastos,,0
A1,A1,,ROOT,2017-04,671150.94,Gastos,,0
A1,A1,,ROOT,2017-05,687211.4,Gastos,,0
A1,A1,,ROOT,2017-06,874042.1399999997,Gastos,,0
A1,A1,,ROOT,2017-07,745340.3099999995,Gastos,,0
A1,A1,,ROOT,2017-08,693927.69,Gastos,,0
A1,A1,,ROOT,2017-09,944552.7199999995,Gastos,,0
A1,A1,,ROOT,2017-10,825465.5000000006,Gastos,,0
A1,A1,,ROOT,2017-11,745190.35,Gastos,,0
A1,A1,,ROOT,2017-12,1378565.9900000007,Gastos,,1
A1,A1,,ROOT,2018-01,1197072.2099999993,Gastos,,0
A1,A1,,ROOT,2018-02,938225.7099999998,Gastos,,0
A1,A1,,ROOT,2018-03,957078.3900000005,Gastos,,0
A1,A1,,ROOT,2018-04,1147803.6900000006,Gastos,,0
A1,A1,,ROOT,2018-05,1050564.9600000002,Gastos,,0
A1,A1,,ROOT,2018-06,954618.9400000005,Gastos,,0
A1,A1,,ROOT,2018-07,1196240.9499999995,Gastos,,0
A1,A1,,ROOT,2018-08,825935.8200000004,Gastos,,0
A1,A1,,ROOT,2018-09,1447195.3699999996,Gastos,,0
A1,A1,,ROOT,2018-10,1246966.8100000005,Gastos,,0
A1,A1,,ROOT,2018-11,1247169.2200000007,Gastos,,0
A1,A1,,ROOT,2018-12,1319614.9700000002,Gastos,,0
A1,A2,A1,CHILD,2016-11,105.64,Custo das mercadorias vendidas e das matérias consumidas,Gastos,0
A1,A2,A1,CHILD,2016-12,-3004.4,Custo das mercadorias vendidas e das matérias consumidas,Gastos,0
A1,A2,A1,CHILD,2017-01,504099.71,Custo das mercadorias vendidas e das matérias consumidas,Gastos,1
A1,A2,A1,CHILD,2017-02,245710.73999999987,Custo das mercadorias vendidas e das matérias consumidas,Gastos,0
A1,A2,A1,CHILD,2017-03,397222.87999999954,Custo das mercadorias vendidas e das matérias consumidas,Gastos,0
A1,A2,A1,CHILD,2017-04,309972.56,Custo das mercadorias vendidas e das matérias consumidas,Gastos,0
A1,A2,A1,CHILD,2017-05,264944.97999999986,Custo das mercadorias vendidas e das matérias consumidas,Gastos,0
A1,A2,A1,CHILD,2017-06,439153.51,Custo das mercadorias vendidas e das matérias consumidas,Gastos,0
A1,A2,A1,CHILD,2017-07,325520.1900000001,Custo das mercadorias vendidas e das matérias consumidas,Gastos,0
A1,A2,A1,CHILD,2017-08,333112.72000000003,Custo das mercadorias vendidas e das matérias consumidas,Gastos,0
A1,A2,A1,CHILD,2017-09,572574.28,Custo das mercadorias vendidas e das matérias consumidas,Gastos,0
A1,A2,A1,CHILD,2017-10,408283.88,Custo das mercadorias vendidas e das matérias consumidas,Gastos,0
A1,A2,A1,CHILD,2017-11,346603.8300000002,Custo das mercadorias vendidas e das matérias consumidas,Gastos,0
A1,A2,A1,CHILD,2017-12,912320.84,Custo das mercadorias vendidas e das matérias consumidas,Gastos,1
A1,A2,A1,CHILD,2018-01,782520.84,Custo das mercadorias vendidas e das matérias consumidas,Gastos,0
A1,A2,A1,CHILD,2018-02,548681.1000000001,Custo das mercadorias vendidas e das matérias consumidas,Gastos,0
A1,A2,A1,CHILD,2018-03,563145.9800000001,Custo das mercadorias vendidas e das matérias consumidas,Gastos,0
A1,A2,A1,CHILD,2018-04,671943.3899999998,Custo das mercadorias vendidas e das matérias consumidas,Gastos,0
A1,A2,A1,CHILD,2018-05,552954.2099999997,Custo das mercadorias vendidas e das matérias consumidas,Gastos,0
A1,A2,A1,CHILD,2018-06,471578.03,Custo das mercadorias vendidas e das matérias consumidas,Gastos,0
A1,A2,A1,CHILD,2018-07,705698.44,Custo das mercadorias vendidas e das matérias consumidas,Gastos,0
A1,A2,A1,CHILD,2018-08,400032.1099999997,Custo das mercadorias vendidas e das matérias consumidas,Gastos,0
A1,A2,A1,CHILD,2018-09,1056040.3799999994,Custo das mercadorias vendidas e das matérias consumidas,Gastos,0
A1,A2,A1,CHILD,2018-10,772302.0800000004,Custo das mercadorias vendidas e das matérias consumidas,Gastos,0
A1,A2,A1,CHILD,2018-11,756298.5500000003,Custo das mercadorias vendidas e das matérias consumidas,Gastos,0
A1,A2,A1,CHILD,2018-12,629497.3899999999,Custo das mercadorias vendidas e das matérias consumidas,Gastos,0
A1,A3,A2,CHILD,2016-11,105.64,Mercadorias,Custo das mercadorias vendidas e das matérias consumidas,0
A1,A3,A2,CHILD,2016-12,-3004.4,Mercadorias,Custo das mercadorias vendidas e das matérias consumidas,0
A1,A3,A2,CHILD,2017-01,504099.71,Mercadorias,Custo das mercadorias vendidas e das matérias consumidas,1
A1,A3,A2,CHILD,2017-02,245710.73999999987,Mercadorias,Custo das mercadorias vendidas e das matérias consumidas,0
A1,A3,A2,CHILD,2017-03,397222.87999999954,Mercadorias,Custo das mercadorias vendidas e das matérias consumidas,0
A1,A3,A2,CHILD,2017-04,309972.56,Mercadorias,Custo das mercadorias vendidas e das matérias consumidas,0
A1,A3,A2,CHILD,2017-05,264944.97999999986,Mercadorias,Custo das mercadorias vendidas e das matérias consumidas,0
A1,A3,A2,CHILD,2017-06,439153.51,Mercadorias,Custo das mercadorias vendidas e das matérias consumidas,0
A1,A3,A2,CHILD,2017-07,325520.1900000001,Mercadorias,Custo das mercadorias vendidas e das matérias consumidas,0
A1,A3,A2,CHILD,2017-08,333112.72000000003,Mercadorias,Custo das mercadorias vendidas e das matérias consumidas,0
A1,A3,A2,CHILD,2017-09,572574.28,Mercadorias,Custo das mercadorias vendidas e das matérias consumidas,0
A1,A3,A2,CHILD,2017-10,408283.88,Mercadorias,Custo das mercadorias vendidas e das matérias consumidas,0
A1,A3,A2,CHILD,2017-11,346603.8300000002,Mercadorias,Custo das mercadorias vendidas e das matérias consumidas,0
A1,A3,A2,CHILD,2017-12,912320.84,Mercadorias,Custo das mercadorias vendidas e das matérias consumidas,1
A1,A3,A2,CHILD,2018-01,782520.84,Mercadorias,Custo das mercadorias vendidas e das matérias consumidas,0
A1,A3,A2,CHILD,2018-02,548681.1000000001,Mercadorias,Custo das mercadorias vendidas e das matérias consumidas,0
A1,A3,A2,CHILD,2018-03,563145.9800000001,Mercadorias,Custo das mercadorias vendidas e das matérias consumidas,0
