GroupKey,PrimaryKey,RelationKey,RelationType,Date,Value,PrimaryKeyGroupAccountName,RelationKeyGroupAccountName,anomaly
A1,A1,,ROOT,2016-02,-2132.42,Rendimentos,,0
A1,A1,,ROOT,2016-03,0.0,Rendimentos,,0
A1,A1,,ROOT,2016-04,-453.49,Rendimentos,,0
A1,A1,,ROOT,2016-05,-652.77,Rendimentos,,0
A1,A1,,ROOT,2016-06,-356.2,Rendimentos,,0
A1,A1,,ROOT,2016-07,0.0,Rendimentos,,0
A1,A1,,ROOT,2016-08,0.0,Rendimentos,,0
A1,A1,,ROOT,2016-09,-80.34,Rendimentos,,0
A1,A1,,ROOT,2016-10,-381.64,Rendimentos,,0
A1,A1,,ROOT,2016-11,0.0,Rendimentos,,0
A1,A1,,ROOT,2016-12,0.0,Rendimentos,,0
A1,A1,,ROOT,2017-01,-836517.0600000002,Rendimentos,,1
A1,A1,,ROOT,2017-02,-504204.6499999999,Rendimentos,,0
A1,A1,,ROOT,2017-03,-857792.48,Rendimentos,,0
A1,A1,,ROOT,2017-04,-665618.5900000002,Rendimentos,,0
A1,A1,,ROOT,2017-05,-585198.9799999999,Rendimentos,,0
A1,A1,,ROOT,2017-06,-1067129.02,Rendimentos,,0
A1,A1,,ROOT,2017-07,-745356.0700000002,Rendimentos,,0
A1,A1,,ROOT,2017-08,-715843.9199999998,Rendimentos,,0
A1,A1,,ROOT,2017-09,-890171.6099999994,Rendimentos,,0
A1,A1,,ROOT,2017-10,-595347.27,Rendimentos,,0
A1,A1,,ROOT,2017-11,-1029012.4,Rendimentos,,0
A1,A1,,ROOT,2017-12,-1505216.379999999,Rendimentos,,0
A1,A1,,ROOT,2018-01,-993067.0499999996,Rendimentos,,0
A1,A1,,ROOT,2018-02,-1609159.63,Rendimentos,,0
A1,A1,,ROOT,2018-03,-560573.6399999999,Rendimentos,,0
A1,A1,,ROOT,2018-04,-661699.5699999997,Rendimentos,,0
A1,A1,,ROOT,2018-05,-882426.8799999999,Rendimentos,,0
A1,A1,,ROOT,2018-06,-1901917.3500000013,Rendimentos,,1
A1,A1,,ROOT,2018-07,-856690.4099999996,Rendimentos,,0
A1,A1,,ROOT,2018-08,-879943.1800000003,Rendimentos,,0
A1,A1,,ROOT,2018-09,-1298758.29,Rendimentos,,0
A1,A1,,ROOT,2018-10,-1342016.9200000002,Rendimentos,,0
A1,A1,,ROOT,2018-11,-1151699.85,Rendimentos,,0
A1,A1,,ROOT,2018-12,-1612554.530000001,Rendimentos,,0
A1,A2,A1,CHILD,2017-01,-637280.8600000001,Vendas,Rendimentos,1
A1,A2,A1,CHILD,2017-02,-328866.74000000005,Vendas,Rendimentos,0
A1,A2,A1,CHILD,2017-03,-471131.9699999997,Vendas,Rendimentos,0
A1,A2,A1,CHILD,2017-04,-414887.3,Vendas,Rendimentos,0
A1,A2,A1,CHILD,2017-05,-352768.88000000006,Vendas,Rendimentos,0
A1,A2,A1,CHILD,2017-06,-582692.7699999999,Vendas,Rendimentos,0
A1,A2,A1,CHILD,2017-07,-409418.18999999994,Vendas,Rendimentos,0
A1,A2,A1,CHILD,2017-08,-336987.11999999994,Vendas,Rendimentos,0
A1,A2,A1,CHILD,2017-09,-323613.05000000005,Vendas,Rendimentos,0
A1,A2,A1,CHILD,2017-10,-237611.23000000013,Vendas,Rendimentos,0
