GroupKey,PrimaryKey,RelationKey,RelationType,Date,Value,DerivedFlag,DerivedLag,DerivedType
A1,A1,A,ROOT,2020-01-01,41.0,,,none
A1,A1,A,ROOT,2020-01-02,36.0,,,none
A1,A1,A,ROOT,2020-01-03,34.0,,,none
A1,A1,A,ROOT,2020-01-04,38.0,,,none
A1,A1,A,ROOT,2020-01-05,30.0,,,none
A1,A1,A,ROOT,2020-01-06,41.0,,,none
A1,A1,A,ROOT,2020-01-07,32.0,,,none
A1,A1,A,ROOT,2020-01-08,43.0,,,none
A1,A1,A,ROOT,2020-01-09,35.0,,,none
A1,A1,A,ROOT,2020-01-10,33.0,,,none
A1,A1,A,ROOT,2020-01-11,38.0,,,none
A1,A1,A,ROOT,2020-01-12,39.0,,,none
A1,A1,A,ROOT,2020-01-13,33.0,,,none
A1,A1,A,ROOT,2020-01-14,37.0,,,none
A1,A1,A,ROOT,2020-01-15,46.0,,,none
A1,A1,A,ROOT,2020-01-16,53.0,,,none
A1,A1,A,ROOT,2020-01-17,38.0,,,none
A1,A1,A,ROOT,2020-01-18,47.0,,,none
A1,A1,A,ROOT,2020-01-19,37.0,,,none
A1,A1,A,ROOT,2020-01-20,31.0,,,none
A1,A1,A,ROOT,2020-01-21,28.0,,,none
A1,A1,A,ROOT,2020-01-22,20.0,,,none
A1,A1,A,ROOT,2020-01-23,24.0,,,none
A1,A1,A,ROOT,2020-01-24,17.0,,,none
A1,A1,A,ROOT,2020-01-25,19.0,,,none
A1,A1,A,ROOT,2020-01-26,21.0,,,none
A1,A1,A,ROOT,2020-01-27,16.0,,,none
A1,A1,A,ROOT,2020-01-28,20.0,,,none
A1,A1,A,ROOT,2020-01-29,24.0,,,none
A1,A1,A,ROOT,2020-01-30,22.0,,,none
A1,A1,A,ROOT,2020-01-31,26.0,,,none
A1,A1,A,ROOT,2020-02-01,21.0,,,none
A1,A1,A,ROOT,2020-02-02,22.0,,,none
A1,A1,A,ROOT,2020-02-03,33.0,,,none
A1,A1,A,ROOT,2020-02-04,42.0,,,none
A1,A1,A,ROOT,2020-02-05,44.0,,,none
