GroupKey,PrimaryKey,Date,Value,anomaly
A1,A4,2017-01,503282.8899999998,1
A1,A137,2017-01,107685.0,0
A1,A8,2017-01,73673.57000000004,1
A1,A4,2017-12,914299.25,1
A1,A137,2017-12,104059.67,0
A1,A139,2017-12,76738.04999999999,0
B1,B40,2016-04,4900.25,0
B1,B41,2016-04,2129.26,0
B1,B22,2016-04,750.0,0
B1,B4,2016-12,2761.25,1
B1,B26,2016-12,1280.0,1
B1,B27,2016-12,1280.0,1
B1,B8,2017-12,624.93,0
B1,B52,2017-12,2.4,0
B1,B31,2017-12,-453.67,0
C1,C8,2017-12,5768.11,0
C1,C34,2017-12,1021.17,1
C1,C31,2017-12,557.0,0
D1,D133,2018-06,72650.0,1
D1,D90,2018-06,1163.34,0
D1,D95,2018-06,630.0,0
D1,D4,2018-12,16842.660000000003,0
D1,D116,2018-12,1491.66,0
D1,D90,2018-12,1163.34,0
E1,E4,2018-12,1328637.91,1
E1,E93,2018-12,2657.33,0
E1,E170,2018-12,2159.44,0
E1,E4,2019-12,1554558.79,1
E1,E139,2019-12,8547.81,0
E1,E160,2019-12,4793.15,0
F1,F9,2016-12,294955.59,1
F1,F15,2016-12,33200.0,0
F1,F4,2016-12,21627.5,0
F1,F9,2017-12,177677.2,1
F1,F15,2017-12,20000.0,0
F1,F50,2017-12,19125.0,0
F1,F11,2018-12,151500.0,1
F1,F9,2018-12,114570.0,1
F1,F4,2018-12,96750.0,0
G1,G6,2016-12,234119.16,1
G1,G177,2016-12,16534.9,0
G1,G138,2016-12,14435.91,0
G1,G6,2017-12,280732.83,1
G1,G89,2017-12,6292.08,0
G1,G140,2017-12,4560.82,0
G1,G15,2018-01,26916.58,0
G1,G138,2018-01,9017.72,0
G1,G151,2018-01,2542.66,0
G1,G6,2018-12,207531.78000000003,1
G1,G177,2018-12,48002.17,1
G1,G138,2018-12,9560.49,0
H1,H4,2017-12,210141.93,1
H1,H52,2017-12,2043.6,0
H1,H11,2017-12,860.42,0
I1,I4,2016-12,64854.0,1
I1,I54,2016-12,1617.0,0
I1,I50,2016-12,1590.0,0
I1,I4,2017-12,54658.72,1
I1,I50,2017-12,530.0,0
I1,I52,2017-12,180.0,0
I1,I4,2018-12,29341.56,1
I1,I50,2018-12,1148.26,0
I1,I59,2018-12,295.9,0
I1,I4,2019-12,42186.36,1
I1,I50,2019-12,1060.0,0
I1,I59,2019-12,254.05,0
I1,I4,2020-12,42186.36,1
I1,I50,2020-12,1060.0,0
I1,I59,2020-12,254.05,0
J1,J8,2018-12,106048.2,1
